GENE	Sample1
C10orf82	0
FAM204A	65
C10orf88	15
C10orf90	25
CCDC172	0
C10orf99	0
TMEM258	20
C11orf16	1
AKIP1	20
C11orf1	3
C11orf21	1
C11orf24	17
VPS51	60
EMSY	37
C11orf31	38
PLET1	0
LMNTD2	0
MRGPRG-AS1	0
C11orf40	0
KIAA1549L	46
C11orf42	3
C11orf45	13
ARL14EP	30
LBHD1	21
C11orf49	16
ANAPC15	28
C11orf52	1
C11orf53	0
C11orf54	36
C11orf57	52
C11orf58	168
LAMTOR1	49
MSANTD2	21
C11orf63	19
LINC00301	0
C11orf65	4
PPP1R32	5
AAMDC	12
C11orf68	18
C11orf70	1
C11orf71	12
C11orf73	29
C11orf74	83
SMCO4	18
C11orf80	18
